nombre,categoria,confianza,lat,lon,macrocategoria,fecha_extraccion,poligono,fuente,momento,release_overture
Restaurante Semigourmet,restaurant,0.27,3.42990424,-76.54006504,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Logística y Seguros,insurance_agency,0.43,3.43201119,-76.54025151,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Medical Stetic Ips,laboratory_testing,0.95,3.43267576,-76.54018524,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Revenue Managers,professional_services,0.11,3.4323801,-76.54010197,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Dra. Karen Torres ,health_and_medical,0.27,3.43266,-76.54012,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Hotel Casa Vallecaucana,hotel,0.97,3.43250062,-76.54011706,Alojamiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
SAEV SEGUROS,insurance_agency,0.77,3.432068,-76.54017089999999,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Casi Usados,thrift_store,0.32,3.43312757,-76.54016973,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Master Esthetic,beauty_and_spa,0.26,3.43346,-76.54011,Belleza y estética,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Descubrelo Store,sin_categoria,0.07,3.43346,-76.5402,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Sondeluz Escuela y Academia de Baile,specialty_school,0.77,3.4338121,-76.5402939,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Fundación Sondeluz,community_services_non_profits,0.59,3.4338201256644,-76.540299654007,Comunitario e institucional,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
El Papotas,burger_restaurant,0.39,3.4331908,-76.5403851,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Dulcey - Muebleria & Carpinteria,carpenter,0.44,3.43331,-76.54032,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Nexura Internacional S.A.S,software_development,0.34,3.43266982,-76.54039671,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
TSL Cali,religious_organization,0.27,3.4323033,-76.5404809,Religioso,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Escuela de Enfermería del Valle Edenv,nursing_school,0.93,3.43452236,-76.54041036,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Vulcanizadora la 5ta,automotive_repair,0.39,3.43531159,-76.54030148,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Dulces Uniformes M.G,uniform_store,0.71,3.43531501,-76.54030929,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Estilo Dental,sin_categoria,0.7,3.43533444,-76.54039485,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Rainbow Bar,bar,0.94,3.43544865,-76.54035242,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
TangaLoca,lingerie_store,0.41,3.43514523,-76.54036784,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Biciparche,bike_repair_maintenance,0.59,3.43528535,-76.54037336,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Ivelioss Verde,sin_categoria,0.17,3.4347683157100573,-76.54038713076122,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Odontología Integral e Implantes,dentist,0.59,3.4348161155281,-76.540353298187,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Laboratorios Neo Ltda.,laboratory_testing,0.87,3.43486885,-76.54033765,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
FotoArt Studio,professional_services,0.54,3.4351197,-76.5402665,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
katze cocktail's,bar,0.68,3.43526,-76.54027,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
El Ultimo Piso,dance_club,0.91,3.43546238,-76.5401796,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Bar La Quinta Estación,bar,0.5,3.4348007663167,-76.540093456117,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Casa Hotel Vida,hotel,0.89,3.43449444,-76.54008222,Alojamiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
In Situ Hotel,hotel,0.94,3.43457,-76.54007,Alojamiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
INTELVALLE - Diplomados y cursos de Salud en Cali.,nursing_school,0.89,3.43551703,-76.54008008,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Rocks Papa,fast_food_restaurant,0.76,3.43546669,-76.54017551,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Emisora La Voz de Dios Cali,broadcasting_media_production,0.48,3.4345585,-76.53940076,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Fundación Bibliotec,library,0.55,3.43660741,-76.5393897,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Pintas y Sueños,clothing_company,0.24,3.43455563,-76.53951157,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Summer Ink,beauty_salon,0.77,3.4360137329485,-76.53962,Belleza y estética,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
EMCALI Central San Fernando,event_planning,0.42,3.435073,-76.539856,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
L'innocenti Ristorante,restaurant,0.68,3.4345501,-76.5398601,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Impladent,dentist,0.94,3.43529388,-76.53982293,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Motorepuestos & Lujos Nuevo Latir SAS,professional_services,0.69,3.436145401194495,-76.53966353985416,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Clínica Impladent,dentist,0.78,3.43545117,-76.53969571,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Colegio San Fernando Rey,school,0.98,3.43521439,-76.53969233,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Inmobiliaria Las Vegas,appraisal_services,0.24,3.43402499,-76.5396576,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Tercera Órbita,media_agency,0.15,3.43388348,-76.53971797,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Cinematools Studio,audio_visual_equipment_store,0.93,3.43266685,-76.53969926,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
La Cueva No.1 Taller Automotriz,automotive_repair,0.94,3.43208725,-76.53983416,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Impronta Ips,health_and_medical,0.56,3.4333883,-76.5398684,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Govinda Snacks Vegetarianos,vegetarian_restaurant,0.44,3.433169,-76.540046,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Evangelista Mora Coliseum,stadium_arena,0.93,3.42855993,-76.53995913,Deporte y recreación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Coliseo Evangelista Mora,basketball_stadium,0.77,3.428394665615796,-76.5398450759334,Deporte y recreación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Baladas de Pecos Bill,bar,0.8,3.42918597,-76.53965682,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Los Amigos de Pascual,bar,0.64,3.42908115,-76.53952773,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
ServiDigital,electronics,0.77,3.4277894,-76.539509,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Servivir,community_services_non_profits,0.65,3.42774902,-76.53945952,Comunitario e institucional,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Florentino Coffee House,cafe,0.5,3.427983389999,-76.539452075958,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Tienda táctica cali,sporting_goods,0.19,3.4278767,-76.5394457,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Proteccion Pensiones Y Cesantias,event_planning,0.43,3.4280172196428,-76.539421699517,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Rancho y Licores El Triunfo,bar,0.23,3.42900246,-76.53947777,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Radio OETH,broadcasting_media_production,0.63,3.43046199,-76.53945852,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Colegio Los Angeles De San Fernando,high_school,0.97,3.43023964,-76.53945059,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Centro Homeopatico El Cipres,naturopathic_holistic,0.65,3.43092996,-76.53954531,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Delirium Poptails,ice_cream_shop,0.28,3.43100179,-76.5395565,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Cenit Odontologia ,health_and_medical,0.94,3.43093,-76.53957,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Odontología Ospina Vega,sin_categoria,0.35,3.43093,-76.53957,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
PipePediatra,professional_services,0.27,3.433856064218215,-76.5396061572371,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Jessgaviria.odontologia,general_dentistry,0.31,3.4338565957032783,-76.53960612890923,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Colmundo Viajes,travel_services,0.35,3.43445159,-76.53944485,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Colmundo Radio Cali,social_service_organizations,0.68,3.43445005,-76.5394429,Comunitario e institucional,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Carpintería Arquitectónica en Madera,furniture_store,0.48,3.43128233,-76.53941766,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
UNION Empresarial GEFET,professional_services,0.37,3.4334176,-76.5393677,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Trofemarcas Ltda,trophy_shop,0.81,3.43325368,-76.53934503,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Duke Seguridad,professional_services,0.27,3.43336211,-76.53927994,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
SKA Studio Colombia,womens_clothing_store,0.2,3.43338205,-76.53927537,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Invisible Grupo Dental,dentist,0.9,3.43176089,-76.53921863,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Panadería Montecarlo,bakery,0.96,3.4316848,-76.53923231,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Centro comercial unisentro armenia quindio,shopping_center,0.71,3.4298044,-76.53930917,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Club Ho Sin Sul Hapkido,martial_arts_club,0.65,3.4281367,-76.5393838,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
FOTO Inmuebles Colombia,real_estate,0.27,3.4286643867168,-76.539280307007,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Cafe Van Van,coffee_shop,0.57,3.42917611,-76.53923887,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Boom 99.1 FM,radio_station,0.73,3.42775343,-76.53923112,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
La Máxima,broadcasting_media_production,0.5,3.4277434,-76.53922706,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Red Sonora Radio,advertising_agency,0.85,3.42771183,-76.53912613,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
CBdesign,internet_marketing_service,0.2,3.42885354,-76.53910075,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Buenos muchachos licorera,bar,0.43,3.42884314,-76.53910904,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Liluba Cosmetics cali,cosmetic_and_beauty_supplies,0.51,3.42901687,-76.53910826,Belleza y estética,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Casanova Salon,beauty_salon,0.88,3.42918993,-76.53909805,Belleza y estética,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Wonder Art Home,furniture_store,0.18,3.42900013,-76.53918753,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Licores De Ole,restaurant,0.51,3.43017574,-76.53915331,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Buda De Oro,restaurant,0.6,3.43025117,-76.53919173,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Odontosanos,dentist,0.45,3.43097317,-76.53912625,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Arteaga Concesionario,motorcycle_dealer,0.33,3.43074159,-76.53910857,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Frisby,chicken_restaurant,0.77,3.430594292025333,-76.53909993251128,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
La Locura,bakery,0.83,3.42982001,-76.53910855,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Planeta Pez,veterinarian,0.54,3.4298237036558,-76.539127421093,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Auto Battery Shop,automotive_parts_and_accessories,0.92,3.42945272,-76.53912426,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Be Fusion Estampados Cali,clothing_store,0.35,3.42954298,-76.53907002,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Capilla Nuestra Señora De La Medalla Milagrosa,church_cathedral,0.8,3.43106434,-76.53905771,Religioso,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Books and Books,bookstore,0.5,3.43083797,-76.53904217,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Ferrollaves y Servicios Ortiz Cali,business_manufacturing_and_supply,0.96,3.43087754,-76.53903594,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Central de Herramientas Cali,appliance_repair_service,0.48,3.43066119,-76.5390212,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Biera Inmobiliaria S.A.S,real_estate,0.91,3.42903844,-76.53908275,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Pollos Crispi,chicken_restaurant,0.94,3.42798412,-76.53907615,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Sonora1500am,radio_station,0.42,3.42782,-76.53905,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Importadora Elite,fashion_accessories_store,0.26,3.42794,-76.539,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
FRANCO Pastelería,desserts,0.64,3.42794,-76.539,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
La Sucursal,restaurant,0.61,3.42801,-76.53897,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Dr Felipe Contecha,general_dentistry,0.45,3.42774442,-76.53896185,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Tax Contadores Sas,accountant,0.29,3.4277056,-76.53885142,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Estacion de Servicio,gas_station,0.36,3.42839479,-76.53884158,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Combuscol Estadio,gas_station,0.4,3.429011,-76.538827,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Texaco,gas_station,0.82,3.42868435,-76.5388523,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Monchi's Gourmet,fast_food_restaurant,0.39,3.42882,-76.538861,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Corporación Regional de Educación Superior CRES,college_university,0.94,3.42964899,-76.53884658,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Tiendanimaldelsur,veterinarian,0.73,3.429922596341463,-76.53880276707316,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
CRC Medivalle SAS,health_and_medical,0.57,3.429428,-76.5388674,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Iglesia Bautista de San Fernando,church_cathedral,0.74,3.4296744,-76.53892856,Religioso,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Yamaha Regnier y CIA Roosevelt,motorcycle_dealer,0.41,3.43232925,-76.53897121,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Adiós Piojos,beauty_and_spa,0.33,3.4324501,-76.5389328,Belleza y estética,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
"SUMOTO, Av. Rooseltvelt, Cali.",motorcycle_dealer,0.58,3.43185624,-76.53890343,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Su Moto S.A.,motorcycle_manufacturer,0.92,3.4319001,-76.5387833,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Dreams world tour ,travel_company,0.24,3.43221,-76.5388,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Leños & Carbón,restaurant,0.85,3.43221,-76.5388,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Full cars Centro Automotriz,automotive_repair,0.75,3.43231,-76.5388,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Motorepuestos La 28 ,automotive_parts_and_accessories,0.53,3.43231,-76.5388,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Grupo Nativos RYJ S.A.S,vitamins_and_supplements,0.65,3.43226,-76.5388,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Hr Centro De Copiado Y Personalización,printing_services,0.32,3.43238,-76.53879,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Cobicivil SAS,construction_services,0.55,3.43234,-76.5388,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Suzuki,motorcycle_dealer,0.98,3.43195668,-76.53884099,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Viajepormenos.co.,travel_services,0.36,3.43301145,-76.53879938,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Moteros Shop,motorcycle_repair,0.34,3.43313996,-76.53878976,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Cocina Cazejas,restaurant,0.37,3.43289748,-76.5387957,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Vital Tour and Travel,travel_services,0.73,3.43291636,-76.53877411,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Intercambios Culturales,financial_service,0.07,3.43290552,-76.53877898,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
School of Esthetics Danelly Mendez,spas,0.88,3.43294624,-76.5387674,Belleza y estética,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Burger Ville,restaurant,0.52,3.4340530588708,-76.538850590587,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Ecomotos A&N,motorcycle_dealer,0.97,3.43386916,-76.53889732,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Tentaciones Eroticas,clothing_store,0.72,3.43399488,-76.53888045,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
