nombre,categoria,confianza,lat,lon,macrocategoria,fecha_extraccion,poligono,fuente,momento,release_overture
Extremeflex Col,sports_and_fitness_instruction,0.27,3.42668,-76.54045,Deporte y recreación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Manada House,pet_store,0.28,3.42614937,-76.54044722,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Dumashe Cali San Fernando,hair_supply_stores,0.46,3.4258162,-76.54045547,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Yorkieland Boutique,pet_store,0.52,3.42620647,-76.54035637,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Market360,marketing_agency,0.37,3.42655247,-76.54029491,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Canchas Sinteticas Futbol 5,sports_and_recreation_venue,0.68,3.427255127510393,-76.54021170874151,Deporte y recreación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Solarium Terraza,restaurant,0.82,3.42564029,-76.54010211,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Car Bang,sin_categoria,0.7,3.42560575,-76.54008007,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
UNAD UDR Cali,college_university,0.96,3.42640659,-76.54006239,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
D'Corpus Spa,spas,0.99,3.42567763,-76.54006449,Belleza y estética,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Fuquensbykarinab,beauty_and_spa,0.45,3.4265704637749,-76.540017842967,Belleza y estética,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Circulo de viajes CALI,travel_company,0.47,3.42554,-76.54002,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
LICHT Radiopantallas,automotive_parts_and_accessories,0.21,3.42554,-76.54002,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Dekohogar sillas reclinables,furniture_store,0.14,3.42560345,-76.54000214,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Funerales García,funeral_services_and_cemeteries,0.62,3.42732121,-76.54000142,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Tecnic Hapas La 9,automotive_parts_and_accessories,0.28,3.4257528,-76.53998473,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Fundación Foro Suroccidente,community_services_non_profits,0.27,3.42522517,-76.53995759,Comunitario e institucional,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Cesantías fácil retiro,marketing_agency,0.24,3.4258866,-76.539952,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Hogar Geriátrico San Marcos,hospital,0.6,3.42661965,-76.53972692,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
El Danubio Hotel Campestre,hotel,0.85,3.4264801,-76.5397263,Alojamiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Brasas Peruanas | Santiago de Cali,peruvian_restaurant,0.62,3.42758331,-76.5397169,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Capilla de Velación Fraternidad,funeral_services_and_cemeteries,0.8,3.42717918,-76.53971092,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Caprapsi,occupational_safety,0.63,3.42579515,-76.53966728,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Juanos Restaurante Café,restaurant,0.7,3.42581441,-76.53963074,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Bookafé,bookstore,0.32,3.42746374,-76.53960242,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Panadería Florentina y Prapers,bakery,0.76,3.42686642,-76.53958973,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Rejuveness Spa Facial y Corporal,spas,0.6,3.42749892,-76.53956414,Belleza y estética,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Praper's,restaurant,0.51,3.42691324,-76.53951532,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Club de Negocios Colombia,social_service_organizations,0.58,3.42581557,-76.53949865,Comunitario e institucional,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
AV Abogados,lawyer,0.03,3.42573323,-76.53947272,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Crissalida,counseling_and_mental_health,0.26,3.42577996,-76.53946227,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
BABY EAR -Perforacion de orejas,b2b_jewelers,0.13,3.425459225365,-76.53948,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Fincas de Colombia,travel,0.5,3.42575746,-76.53945625,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Tropicoco,sin_categoria,0.55,3.4276,-76.53943,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Espiritista Cali-Amarres De Amor,religious_organization,0.55,3.42704,-76.53937,Religioso,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Iglesia en Santiago de cali,church_cathedral,0.55,3.4272232,-76.5393625,Religioso,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
lennahotel,accommodation,0.63,3.42715,-76.53932,Alojamiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Amortiteca del Sur,automotive_repair,0.98,3.42755348,-76.53926217,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Superllantas Y Servicios La Roosevelt,tire_dealer_and_repair,0.4,3.42760352,-76.53921653,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Special Service Frontiers,transportation,0.12,3.42728828,-76.53914729,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
De Mano en Mano,shopping,0.04,3.42757149,-76.53913165,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Centro de Mística - Edith Stein,catholic_church,0.68,3.42588,-76.53902,Religioso,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Logistica y Servicios Empresariales Especiales Aloha,transportation,0.32,3.42715416,-76.53903196,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
"Natalia Hernandez, Odontología Integral.",dentist,0.51,3.4272908,-76.5389999,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Klauss Artesanal,bakery,0.55,3.42725263,-76.53896643,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Peluqueria Luis Angel,beauty_salon,0.56,3.42665772,-76.53894849,Belleza y estética,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Vehiculos y Automotores Jabc,car_dealer,0.69,3.42690943,-76.53890487,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Liceo Rosita,high_school,0.71,3.4263806275129984,-76.53886577749832,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Iglesia Templete,church_cathedral,0.94,3.4257632983119226,-76.53882707953316,Religioso,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Sociedad Colombiana de Arquitectos Paisajistas,architectural_designer,0.22,3.42537111,-76.53883072,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Iglesia El Templete,church_cathedral,0.82,3.425643536128136,-76.53873466998333,Religioso,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Funerales del Valle Templo,funeral_services_and_cemeteries,0.81,3.42594259,-76.53870147,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Santisimo Sacramento,church_cathedral,0.95,3.42571517,-76.53862621,Religioso,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Clinica Rey David,hospital,0.77,3.426963174168706,-76.53854107211859,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
